,id,host_response_time,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,county,essentials,other_amenities,total_bookings,annual_listing_revenue
23966,47075664,2,100,1,1,0,34.06459,-118.43187,0,6,2.0,2,2,31,92,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,1,23,2.985074626865672,534.3283582089553
23967,47076504,2,36,0,1,0,34.09828,-118.31925,0,7,3.0,3,3,30,1125,2,4.0,4.5,4.0,5.0,4.0,5.0,4.0,0,13,0,1,32,2.985074626865672,355.22388059701495
23968,47077240,0,91,0,1,1,33.77156,-118.18719,0,6,1.0,1,1,31,60,29,4.66,4.59,4.55,4.62,4.79,4.69,4.52,0,4,0,1,30,43.28358208955224,7791.044776119404
23969,47078461,0,100,0,1,1,34.09692,-118.37209,0,10,3.5,5,5,3,1125,17,4.53,4.47,4.59,5.0,4.94,4.94,4.29,1,1,0,1,66,25.37313432835821,28874.626865671642
23971,47078944,0,98,0,1,1,33.95293,-118.38203,0,5,1.0,2,2,30,155,2,5.0,4.5,5.0,5.0,5.0,4.0,5.0,1,53,0,1,21,2.985074626865672,358.2089552238806
23973,47080503,0,100,0,1,1,33.87683,-118.3571,2,1,1.0,1,1,30,365,2,3.5,3.5,2.0,4.5,3.5,4.5,4.0,1,6,0,1,12,2.985074626865672,104.47761194029852
23976,47083423,0,73,0,1,1,34.05833,-118.35329,0,2,1.0,1,1,31,365,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,62,0,1,39,2.985074626865672,268.65671641791045
23977,47091824,0,88,0,1,1,34.0891,-118.25915,0,6,2.5,2,3,1,31,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,2,0,1,16,1.492537313432836,419.4029850746269
23978,47094405,1,73,0,1,1,34.08899,-118.38338,2,5,1.0,1,2,1,30,14,4.93,5.0,5.0,4.93,5.0,5.0,4.93,0,2,0,1,55,20.895522388059703,4450.746268656717
23979,47095097,1,94,1,1,1,34.08856,-118.25241,0,2,1.0,1,1,31,1125,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,3,0,1,35,1.492537313432836,207.46268656716418
23980,47096644,0,77,1,1,1,34.15979,-118.36403,2,9,1.5,2,3,4,21,20,4.75,4.85,4.65,5.0,5.0,5.0,4.75,0,1,0,1,49,29.850746268656717,6835.820895522388
23985,47101546,0,99,0,1,1,33.98866,-117.90409,0,2,1.0,0,1,1,5,83,4.73,4.87,4.67,4.96,4.95,4.84,4.72,0,4,0,1,15,123.88059701492537,9167.164179104477
23986,47102025,0,100,1,1,0,34.64027,-118.36254,0,16,3.5,5,11,2,1125,38,4.89,4.87,4.79,5.0,4.92,4.92,4.82,1,1,0,1,58,56.71641791044776,42820.89552238806
23987,47117223,1,90,1,1,0,34.10236,-117.77624,0,2,1.0,0,1,30,30,21,4.9,5.0,5.0,4.76,4.86,4.9,4.81,0,2,0,1,20,31.34328358208955,1410.44776119403
23988,47120834,0,88,0,1,1,34.09354,-118.35263,0,2,1.0,0,1,31,1125,2,4.5,5.0,4.5,5.0,4.5,4.5,3.5,0,126,0,1,10,2.985074626865672,208.95522388059703
23989,47120894,0,100,1,1,1,34.19324,-118.55831,0,3,1.0,1,2,30,30,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,2,0,1,14,4.477611940298507,470.14925373134326
